ANNEE,SESN,CD_COURS,REG_ADM,RES_ENS,CD_ORGNS_RESP,CD_ORGNS2,NO_GROUP_ELEVE,ELEVE_NOTE,MOYEN_NEB,PCT_REUST_NEB,MOYEN_NEM,PCT_REUST_NEM,MOYEN_NMB,PCT_REUST_NMB,MOYEN_NMC,PCT_REUST_NMC,MOYEN_RF,PCT_REUST_RF
2020,1,55444,16,PU,866000,866055,??,8,,,,,,,,,66.6,87.5
2020,1,55444,16,PU,866000,866055,,8,,,,,,,,,66.6,87.5
2020,1,55444,16,PU,866000,,,11,,,,,,,,,69.4,90.9
2020,1,55444,16,PU,,,,83,,,,,,,,,64.8,70.2
2020,1,55444,16,PR,,,,21,,,,,,,,,62.7,71.4
2020,1,55444,16,,,,,104,,,,,,,,,64.3,70.5
2020,1,55444,,PU,,,,982,,,,,,,,,65.9,72.7
2020,1,55444,,PR,,,,105,,,,,,,,,65.4,79
2020,1,55444,,GO,,,,22,,,,,,,,,59.6,59.1
2020,1,55444,,,,,,1109,,,,,,,,,65.7,73.1
2020,1,55410,16,PU,866000,866057,90,3,,,,,82.3,100,82.3,100,82.3,100
2020,1,55410,16,PU,866000,866057,,3,,,,,82.3,100,82.3,100,82.3,100
2020,1,55410,16,PU,866000,,,11,,,,,66.8,63.6,66.8,63.6,66.8,63.6
2020,1,55410,16,PU,,,,81,64.2,67.9,67.3,77.4,64.2,65.4,64.2,65.4,65.4,66.7
2020,1,55410,16,PR,,,,19,,,,,60.3,68.4,60.3,68.4,60.3,68.4
2020,1,55410,16,,,,,100,64.2,67.9,67.3,77.4,63.4,66,63.4,66,64.5,67
2020,1,55410,,PU,,,,940,63.7,65.1,65.3,69.8,63.6,66.1,63.6,66.1,64.7,68.9
2020,1,55410,,PR,,,,101,64.9,88.9,68.3,75,62.8,67.3,62.8,67.3,63,67.3
2020,1,55410,,GO,,,,19,,,,,62.1,57.9,62.1,57.9,62.1,57.9
2020,1,55410,,,,,,1060,63.8,65.5,65.3,69.9,63.5,66,63.5,66,64.5,68.6
2020,1,55444,16,PU,866000,866057,??,3,,,,,,,,,76.7,100
2020,1,55444,16,PU,866000,866057,,3,,,,,,,,,76.7,100
2020,1,55444,16,PU,866000,,,11,,,,,,,,,69.4,90.9
2020,1,55444,16,PU,,,,83,,,,,,,,,64.8,70.2
2020,1,55444,16,PR,,,,21,,,,,,,,,62.7,71.4
2020,1,55444,16,,,,,104,,,,,,,,,64.3,70.5
2020,1,55444,,PU,,,,982,,,,,,,,,65.9,72.7
2020,1,55444,,PR,,,,105,,,,,,,,,65.4,79
2020,1,55444,,GO,,,,22,,,,,,,,,59.6,59.1
2020,1,55444,,,,,,1109,,,,,,,,,65.7,73.1
2020,1,132506,16,PU,866000,866057,??,3,,,,,,,,,69.7,100
2020,1,132506,16,PU,866000,866057,,3,,,,,,,,,69.7,100
2020,1,132506,16,PU,866000,,,18,,,,,,,,,64.4,72.2
2020,1,132506,16,PU,,,,193,,,,,,,,,64.2,68
2020,1,132506,16,PR,,,,10,,,,,,,,,65.5,90
2020,1,132506,16,,,,,203,,,,,,,,,64.3,69.1
2020,1,132506,,PU,,,,2151,,,,,,,,,65.2,71.5
2020,1,132506,,PR,,,,81,,,,,,,,,69.1,78
2020,1,132506,,GO,,,,1,,,,,,,,,68,100
2020,1,132506,,,,,,2233,,,,,,,,,65.4,71.8
2020,1,132510,16,PU,866000,866057,61,2,79,100,,,,,,,79,100
2020,1,132510,16,PU,866000,866057,,2,79,100,,,,,,,79,100
2020,1,132510,16,PU,866000,,,12,62.6,66.7,,,,,,,62.6,66.7
